cache_entry_id,language,api_name,hidden_api_cache_entry_refs,unique_project_cache_entry_pairs,unique_project_tool_cache_entry_triples,permissions
Python::.robot_operator.RobotOperator,Python,.robot_operator.RobotOperator,2,1,2,System Command Execution
Python::.utils.endpoint_registry.get_registry().get_all_endpoints,Python,.utils.endpoint_registry.get_registry().get_all_endpoints,1,1,1,File System Operations
Python::AGENT_SCRIPTS_MANAGER.get_script,Python,AGENT_SCRIPTS_MANAGER.get_script,1,1,1,System Command Execution
Python::AWSRequest,Python,AWSRequest,1,1,1,Cloud Infrastructure Management
Python::Amazon,Python,Amazon,1,1,1,Cloud Infrastructure Management
Python::ApiManagementClient,Python,ApiManagementClient,3,3,3,Cloud Infrastructure Management
Python::Article,Python,Article,1,1,1,System Command Execution
Python::AsyncWindow,Python,AsyncWindow,1,1,1,System Command Execution
Python::BedrockEmbeddings,Python,BedrockEmbeddings,1,1,1,AI and Machine Learning Services
Python::BrowserSession,Python,BrowserSession,1,1,1,Browser Automation and Web Interaction
Python::ChatGoogle,Python,ChatGoogle,1,1,1,AI and Machine Learning Services
Python::CreateDocumentAnalyzeTaskRequestDocument,Python,CreateDocumentAnalyzeTaskRequestDocument,1,1,1,Specialized Domain Data Services
Python::Database,Python,Database,1,1,1,Database Management
Python::DescribeWorkspace,Python,DescribeWorkspace,1,1,1,Cloud Infrastructure Management
Python::DorisMonitoringTools.get_memory_stats,Python,DorisMonitoringTools.get_memory_stats,1,1,1,System Command Execution
Python::FastMCP.run_command,Python,FastMCP.run_command,1,1,1,System Command Execution
Python::FastMCP.send_command,Python,FastMCP.send_command,6,2,6,System Command Execution
Python::Foundation.NSImage.initWithContentsOfFile_,Python,Foundation.NSImage.initWithContentsOfFile_,1,1,1,File System Operations
Python::GeoRoutesClient,Python,GeoRoutesClient,2,2,2,Cloud Infrastructure Management
Python::GetProfiles,Python,GetProfiles,1,1,1,Cloud Infrastructure Management
Python::GetSystemMetrics,Python,GetSystemMetrics,2,2,2,System Command Execution
Python::GetWindowText,Python,GetWindowText,1,1,1,System Command Execution
Python::KachakaMCPContext,Python,KachakaMCPContext,1,1,1,Database Management
Python::KikSearchRequest,Python,KikSearchRequest,1,1,1,Browser Automation and Web Interaction
Python::MathcadPy.Worksheet.get_real_output,Python,MathcadPy.Worksheet.get_real_output,1,1,1,System Command Execution
Python::MediaIoBaseDownload,Python,MediaIoBaseDownload,2,1,2,File System Operations
Python::MetadataDbClient,Python,MetadataDbClient,1,1,1,Database Management
Python::Notify,Python,Notify,1,1,1,File System Operations
Python::ONVIFCamera,Python,ONVIFCamera,1,1,1,Cloud Infrastructure Management
Python::Options,Python,Options,1,1,1,Browser Automation and Web Interaction
Python::ParadexApiClient.init_account,Python,ParadexApiClient.init_account,4,1,4,Specialized Domain Data Services
Python::PlexServer,Python,PlexServer,2,2,2,Cloud Infrastructure Management
Python::Plotter,Python,Plotter,1,1,1,File System Operations
Python::PromptGuard,Python,PromptGuard,9,1,9,AI and Machine Learning Services
Python::RaspberryPiAdapter.connect,Python,RaspberryPiAdapter.connect,1,1,1,System Command Execution
Python::RedshiftTable,Python,RedshiftTable,1,1,1,Database Management
Python::Repo,Python,Repo,3,1,3,File System Operations
Python::Repo.clone_from,Python,Repo.clone_from,2,1,2,Specialized Domain Data Services
Python::Runtime.evaluate,Python,Runtime.evaluate,1,1,1,Browser Automation and Web Interaction
Python::Service,Python,Service,1,1,1,Browser Automation and Web Interaction
Python::Sherlock,Python,Sherlock,8,1,8,System Command Execution
Python::StudentDatabaseModule.db.execute_query,Python,StudentDatabaseModule.db.execute_query,1,1,1,Database Management
Python::URBasic.ur_get_robot_model,Python,URBasic.ur_get_robot_model,1,1,1,System Command Execution
Python::Vmm,Python,Vmm,5,1,5,System Command Execution
Python::ZipFile,Python,ZipFile,1,1,1,File System Operations
Python::_Registry,Python,_Registry,1,1,1,System Command Execution
Python::_disconnect,Python,_disconnect,4,1,4,System Command Execution
Python::_ensure_playwright_ready,Python,_ensure_playwright_ready,2,1,2,Browser Automation and Web Interaction
Python::_execute_statement,Python,_execute_statement,4,1,4,Database Management
Python::_handle_update_record_tool,Python,_handle_update_record_tool,1,1,1,System Command Execution
Python::_openrouter_chat,Python,_openrouter_chat,1,1,1,Database Management
Python::_qgis_connection.disconnect,Python,_qgis_connection.disconnect,8,1,8,System Command Execution
Python::_run_command,Python,_run_command,4,1,4,System Command Execution
Python::ableton.send_command,Python,ableton.send_command,2,1,2,System Command Execution
Python::acreate,Python,acreate,1,1,1,Database Management
Python::add_argument,Python,add_argument,2,2,2,System Command Execution
Python::add_or_update_email,Python,add_or_update_email,1,1,1,Database Management
Python::agent.run,Python,agent.run,1,1,1,Browser Automation and Web Interaction
Python::ainvoke,Python,ainvoke,1,1,1,Specialized Domain Data Services
Python::alphaess.alphaess.close,Python,alphaess.alphaess.close,1,1,1,Project Management Services
Python::amazon.client.Amazon.buy_now,Python,amazon.client.Amazon.buy_now,1,1,1,Financial and Blockchain Services
Python::amazon.client.Amazon.buy_now_with_x402,Python,amazon.client.Amazon.buy_now_with_x402,1,1,1,Financial and Blockchain Services
Python::amp,Python,amp,1,1,1,Cloud Infrastructure Management
Python::analyze_position,Python,analyze_position,1,1,1,System Command Execution
Python::anyio.to_thread.run_sync,Python,anyio.to_thread.run_sync,1,1,1,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter,1,1,1,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,1,1,1,System Command Execution
Python::app.shared.utils.http_client.get,Python,app.shared.utils.http_client.get,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.http_client.post,Python,app.shared.utils.http_client.post,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.tool_helper_service.execute_get_request,Python,app.shared.utils.tool_helper_service.execute_get_request,1,1,1,Specialized Domain Data Services
Python::app.tools.raspberrypi_tool.RaspberryPiTool,Python,app.tools.raspberrypi_tool.RaspberryPiTool,1,1,1,System Command Execution
Python::applescript.run,Python,applescript.run,3,1,3,Browser Automation and Web Interaction
Python::asyncio.create_subprocess_exec,Python,asyncio.create_subprocess_exec,22,10,22,System Command Execution
Python::asyncio.create_subprocess_shell,Python,asyncio.create_subprocess_shell,6,1,6,System Command Execution
Python::asyncio.subprocess.Process.communicate,Python,asyncio.subprocess.Process.communicate,4,3,4,System Command Execution
Python::attach,Python,attach,12,1,12,System Command Execution
Python::attributes,Python,attributes,5,1,5,System Command Execution
Python::auto_fix_issue,Python,auto_fix_issue,1,1,1,System Command Execution
Python::awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,Python,awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,1,1,1,Cloud Infrastructure Management
Python::awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,Python,awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,1,1,1,Cloud Infrastructure Management
Python::awslabs.aws_diagram_mcp_server.scanner.scan_python_code,Python,awslabs.aws_diagram_mcp_server.scanner.scan_python_code,2,2,2,System Command Execution
Python::awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,Python,awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,1,1,1,Cloud Infrastructure Management
Python::awslabs.ccapi_mcp_server.models.models.ExplainRequest,Python,awslabs.ccapi_mcp_server.models.models.ExplainRequest,1,1,1,Cloud Infrastructure Management
Python::awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,Python,awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,1,1,1,System Command Execution
Python::awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,Python,awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,2,2,2,System Command Execution
Python::awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,Python,awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,1,1,1,AI and Machine Learning Services
Python::awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,Python,awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,2,2,2,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,Python,awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,1,1,1,Project Management Services
Python::awslabs.git_repo_research_mcp_server.indexer.index_repository,Python,awslabs.git_repo_research_mcp_server.indexer.index_repository,1,1,1,File System Operations
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search,1,1,1,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,2,2,2,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,Python,awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,2,2,2,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,Python,awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,1,1,1,Project Management Services
Python::awslabs.prometheus_mcp_server.configure_workspace_for_request,Python,awslabs.prometheus_mcp_server.configure_workspace_for_request,1,1,1,Cloud Infrastructure Management
Python::awslabs.prometheus_mcp_server.consts.get_prometheus_client,Python,awslabs.prometheus_mcp_server.consts.get_prometheus_client,1,1,1,Cloud Infrastructure Management
Python::awslabs.redshift_mcp_server.models.RedshiftSchema,Python,awslabs.redshift_mcp_server.models.RedshiftSchema,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_columns,Python,awslabs.redshift_mcp_server.redshift.discover_columns,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_databases,Python,awslabs.redshift_mcp_server.redshift.discover_databases,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_schemas,Python,awslabs.redshift_mcp_server.redshift.discover_schemas,1,1,1,Database Management
