cache_entry_id,language,api_name,category,deepseek_refs,qwen_refs,deepseek_permissions,qwen_permissions
Python::.robot_operator.RobotOperator,Python,.robot_operator.RobotOperator,System Command Execution,2,3,System Command Execution,System Command Execution
Python::.utils.endpoint_registry.get_registry().get_all_endpoints,Python,.utils.endpoint_registry.get_registry().get_all_endpoints,File System Operations,6,2,File System Operations,File System Operations
Python::AGENT_SCRIPTS_MANAGER.get_script,Python,AGENT_SCRIPTS_MANAGER.get_script,System Command Execution,1,1,System Command Execution,System Command Execution
Python::AWSRequest,Python,AWSRequest,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::Amazon,Python,Amazon,Cloud Infrastructure Management,4,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::ApiManagementClient,Python,ApiManagementClient,Cloud Infrastructure Management,4,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::Article,Python,Article,System Command Execution,1,1,System Command Execution,System Command Execution
Python::AsyncWindow,Python,AsyncWindow,System Command Execution,1,2,System Command Execution,System Command Execution
Python::BedrockEmbeddings,Python,BedrockEmbeddings,AI and Machine Learning Services,1,2,AI and Machine Learning Services,AI and Machine Learning Services
Python::BrowserSession,Python,BrowserSession,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::ChatGoogle,Python,ChatGoogle,AI and Machine Learning Services,2,1,AI and Machine Learning Services,AI and Machine Learning Services
Python::CoreV1Api,Python,CoreV1Api,Cloud Infrastructure Management,8,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::CreateDocumentAnalyzeTaskRequestDocument,Python,CreateDocumentAnalyzeTaskRequestDocument,Specialized Domain Data Services,3,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::DBService.execute_sql,Python,DBService.execute_sql,Database Management,1,1,Database Management,Database Management
Python::DaisysAPI,Python,DaisysAPI,File System Operations,1,1,File System Operations,File System Operations
Python::Database,Python,Database,Database Management,1,1,Database Management,Database Management
Python::DefaultResolver,Python,DefaultResolver,System Command Execution,1,2,System Command Execution,System Command Execution
Python::DescribeWorkspace,Python,DescribeWorkspace,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::DorisMonitoringTools.get_memory_stats,Python,DorisMonitoringTools.get_memory_stats,System Command Execution,1,1,System Command Execution,System Command Execution
Python::FastMCP.run_command,Python,FastMCP.run_command,System Command Execution,1,2,System Command Execution,System Command Execution
Python::FastMCP.send_command,Python,FastMCP.send_command,System Command Execution,6,7,System Command Execution,System Command Execution
Python::Foundation.NSImage.initWithContentsOfFile_,Python,Foundation.NSImage.initWithContentsOfFile_,File System Operations,1,1,File System Operations,File System Operations
Python::GeoRoutesClient,Python,GeoRoutesClient,Cloud Infrastructure Management,2,2,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::GetProfiles,Python,GetProfiles,Cloud Infrastructure Management,4,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::GetSystemMetrics,Python,GetSystemMetrics,System Command Execution,2,2,System Command Execution,System Command Execution
Python::GetWindowText,Python,GetWindowText,System Command Execution,1,2,System Command Execution,System Command Execution
Python::GitHub API,Python,GitHub API,Project Management Services,2,3,Specialized Domain Data Services,Project Management Services
Python::IRISReference,Python,IRISReference,Database Management,1,2,Database Management,Database Management
Python::KachakaMCPContext,Python,KachakaMCPContext,Database Management,1,8,Database Management,Database Management
Python::KikSearchRequest,Python,KikSearchRequest,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::MathcadPy.Worksheet.get_real_output,Python,MathcadPy.Worksheet.get_real_output,System Command Execution,1,2,System Command Execution,System Command Execution
