project,tool,description,permission,apis,inferable_from_description,qwen_reason,deepseek_reason
0pstech_vuln-fs,search_file,Search for files matching a pattern (unsafe: no sanitization),System Command Execution,execPromise,no,"The description implies a read-only search operation (L1), but the actual permission allows executing system commands (L3), which is a strictly higher-impact capability.","Description implies search (read) but APIs include command execution (execPromise), a higher-impact capability."
0xshariq_docker-mcp-server,docker-login,Log in to a Docker registry,System Command Execution,child_process.spawn; executeDockerCommand; stdin.write,no,"The description implies a network authentication request, but the actual implementation executes local system commands via child_process, which is a higher-impact capability than simple API communication.","Description implies authentication only, but actual permission allows arbitrary system command execution, a higher impact than logging in."
101ta28_google-calendar-mcp-server,search_all_calendars,すべてのカレンダーからイベントを検索するツール,File System Operations,pathlib.Path.write,no,"The tool description implies a read-only search operation, but file system write access represents a strictly higher-impact mutation capability not disclosed.","Description implies only read-only search, but pathlib.Path.write indicates a hidden file-write capability that could modify filesystem state beyond a simple query."
29decibel_record-to-markdown,create_note,Create a new note in Apple Notes. Args: title: The title of the note content: The content/body of the note (can be markdown) convert_markdown: Whether to convert content from markdown to HTML,System Command Execution,subprocess.run,no,"The description implies a contained data write operation, but the actual implementation executes system commands via subprocess, representing a strictly higher-impact capability.","Description implies note creation via Apple Notes integration, but subprocess.run enables arbitrary system command execution, a strictly higher-impact capability."
43EVER_biliscribe,bili_scribe,"Extracts and formats video content into structured text, optimized for LLM processing and analysis. Args: video_url (str): The URL of video to process. use_audio (bool): Whether to use audio for transcription. Should always be True. Returns: str: The formatted text content of the video.",Cloud Infrastructure Management,boto3.client; boto3.s3.upload_file; botocore.config.Config; generate_presigned_url,no,"The description implies a simple read operation, but uploading files to S3 constitutes hidden write/persist side effects.","The tool description implies read-only video extraction but the permission includes S3 file upload, a write capability that exceeds the expected baseline."
611711Dark_mcp_calculate_server,calculate_expression,"calculate mathematical expressions using the `sympify` function from `sympy`, parse and compute the input mathematical expression string, supports direct calls to SymPy functions (automatically recognizes x, y, z as symbolic variables) Parameters: expression (str): Mathematical expression, e.g., ""223 - 344 * 6"" or ""sin(pi/2) + log(10)"".Replace special symbols with approximate values, e.g., pi → 3.1415"" Example expressions: ""2 + 3*5"" # Basic arithmetic → 17 ""expand((x + 1)**2)"" # Expand → x² + 2x + 1 ""diff(sin(x), x)"" # Derivative → cos(x) ""integrate(exp(x), (x, 0, 1))"" # Definite integral → E - 1 ""solve(x**2 - 4, x)"" # Solve equation → [-2, 2] ""limit(tan(x)/x, x, 0)"" # Limit → 1 ""Sum(k, (k, 1, 10)).doit()"" # Summation → 55 ""Matrix([[1, 2], [3, 4]]).inv()"" # Matrix inverse → [[-2, 1], [3/2, -1/2]] ""simplify((x**2 - 1)/(x + 1))"" # Simplify → x - 1 ""factor(x**2 - 2*x - 15)"" # Factorize → (x - 5)(x + 3) ""series(cos(x), x, 0, 4)"" # Taylor series → 1 - x²/2 + x⁴/24 + O(x⁴) ""integrate(exp(-x**2)*sin(x), (x, -oo, oo))"" # Complex integral ""solve([x**2 + y**2 - 1, x + y - 1], [x, y])"" # Solve system of equations ""Matrix([[1, 2, 3], [4, 5, 6], [7, 8, 9]]).eigenvals()"" # Matrix eigenvalues Returns: str: Calculation result. If the expression cannot be parsed or computed, returns an error message (str).",System Command Execution,builtins.eval; eval,no,"The description implies safe mathematical computation, but the use of eval allows arbitrary code execution which is a strictly higher-impact capability.","Description implies safe mathematical evaluation, but eval allows arbitrary system command execution, a higher-impact hidden capability."
7ossamfarid_mcp-mindmesh,reason_with_swarm,,Database Management,@electric-sql/pglite.PGlite.query,no,"The empty description implies no capability, while Database Management represents a high-impact L2/L3 mutation capability that is strictly higher than the implied baseline.","The tool name implies reasoning only, but hidden database management capability allows mutation and persistence, exceeding the expected baseline significantly."
8beeeaaat_touchdesigner-mcp,get_td_classes,,File System Operations,node:fs.readFileSync,no,"The tool name implies a data retrieval operation, but the actual behavior involves direct file system access which is a higher-impact capability not disclosed in the empty schema.","Description is empty, so file read (L1) is strictly higher impact than the implied baseline of no capability."
8beeeaaat_touchdesigner-mcp,get_td_nodes,,File System Operations,node:fs.readFileSync,no,"The tool name implies a network or application-level query (L1), but the actual permission involves direct file system reads (L1+ scope expansion) which is a distinct and unexpected capability not implied by the name.","No description or schema provided; the baseline capability is nil, so filesystem read access is a higher-impact surprise."
AB498_computer-control-mcp,type_text,Type the specified text at the current cursor position.,System Command Execution,typewrite,no,"The description implies simple text input (L2 write), but the actual permission allows executing system commands (L3 execute), which is a strictly higher-impact capability.","Description implies typing text (write), but the tool actually executes system commands (execute), a higher-impact capability."
AI-QL_mcp-devcontainers,devcontainer_workspace_folders,,System Command Execution,Tool.execute,no,"The empty description implies no capability, while System Command Execution is a high-impact L3 action that represents a strictly higher risk than the implied baseline.","Tool name suggests a read-only workspace folder operation but actual permission allows arbitrary system command execution, a strictly higher-impact capability."
AIDC-AI_pixelle-mcp,get_workflow_tool_detail,The name of the workflow to get details for,File System Operations,pathlib.Path.write,no,"The description suggests retrieving metadata, but the actual behavior includes writing files to the local file system.","Description implies a read-only get, but file write is a strictly higher-impact mutating capability."
AIDC-AI_pixelle-mcp,get_workflow_tool_detail,The name of the workflow to get details for,Specialized Domain Data Services,requests.Response.raise_for_status; requests.get,no,"While some APIs are read-only, the inclusion of file upload capabilities represents a higher-impact mutation than implied by 'get detail'.","Description implies a read-only fetch, but upload is a write/send operation that exceeds the read baseline."
AIDC-AI_pixelle-mcp,reload_workflows_tool,Reload all MCP tools that were generated by workflows.,System Command Execution,pixelle.mcp_core.mcp.remove_tool,no,"The description implies refreshing state, but removing tools is a destructive action that exceeds the expected impact of a reload operation.","The description implies reloading tools but not arbitrary system command execution or tool deletion, which are strictly higher-impact than the implied update/refresh."
AItheLab_mcp-terminal-use,mkdir,Create a new directory within the allowed directory.,System Command Execution,../utils/command-executor.execAsync,no,"The description implies a safe, sandboxed file system operation, but executing arbitrary system commands is a strictly higher-impact capability that bypasses standard file API constraints.","The description implies simple directory creation (L2), but executing system commands (L3) introduces a strictly higher capability with material risk of unintended command execution."
Aayushchaudry_MCP_gmail,create_calendar_event,Create a new event in Google Calendar. Args: event: Calendar event details Returns: Status of event creation with event ID and link,System Command Execution,pickle.load,no,The use of pickle.load implies arbitrary code execution or deserialization risks that are strictly higher impact than the described calendar event creation.,"Using pickle.load implies the ability to execute arbitrary code, a higher-impact system command execution capability not disclosed by the description of simply creating a calendar event."
Aayushchaudry_MCP_gmail,get_email_content,"Get the content of a specific email by ID. Args: email_id: The ID of the email to retrieve Returns: Email content including subject, sender, date and body",System Command Execution,pickle.load,no,Deserialization via pickle.load introduces arbitrary code execution risks (L3) that strictly exceed the safe L1 read baseline implied by fetching email content.,"Deserialization via pickle.load enables arbitrary code execution, a highly elevated and undisclosed capability beyond reading email content."
Aayushchaudry_MCP_gmail,get_latest_emails,"Get the latest emails from Gmail inbox. Args: max_results: Maximum number of emails to retrieve (1-10) Returns: List of email messages with From, Subject, and Date",System Command Execution,pickle.load,no,"Deserialization via pickle.load introduces arbitrary code execution risk, which is strictly higher impact than the implied read-only email retrieval.","pickle.load enables arbitrary code execution, a strictly higher L3 impact than the described L1 read, creating hidden and severe risk."
Aayushchaudry_MCP_gmail,search_emails,"Search for emails in Gmail using a query string. Args: query: Gmail search query (e.g., ""from:example@gmail.com"") max_results: Maximum number of emails to retrieve (1-10) Returns: List of email messages matching the search query",System Command Execution,pickle.load,no,Deserialization via pickle.load introduces arbitrary code execution risk (L3) which strictly exceeds the implied safe read-only email search.,"pickle.load enables arbitrary code execution, a strictly higher-impact capability than the described email retrieval."
Aayushchaudry_MCP_gmail,search_events,Search for events in Google Calendar. Args: query: Search terms to find events max_results: Maximum number of events to retrieve time_min: Optional minimum time in ISO format (default: now) Returns: List of calendar events matching the search criteria,System Command Execution,pickle.load,no,Deserializing data via pickle.load introduces arbitrary code execution risk (L3) which is strictly higher impact than the described L1 search functionality.,"pickle.load enables arbitrary code execution, which is a strictly higher-impact L3 capability than the described L1 read, and materially surprising."
Aayushchaudry_MCP_gmail,send_email,"Send an email using Gmail. Args: email: Email details including recipient, subject, and body Returns: Status of email sending operation",System Command Execution,pickle.load,no,"The use of pickle.load implies arbitrary code deserialization risk, which is a strictly higher-impact system execution capability than the described email sending function.","The description implies only sending email, but pickle.load enables arbitrary code execution, a strictly higher-impact capability that materially surprises the agent."
Abeautifulsnow_TDengine_mcp_server,get_field_infos,The name of the database. Default is None which means the configured database.,Database Management,taosrest.RestClient.execute_sql,no,"The tool name and description imply a read-only metadata retrieval operation (L1), but the actual permission allows executing arbitrary SQL commands (L3), which is a strictly higher-impact destructive capability.","Description implies read-only field info retrieval, but tool uses execute_sql allowing arbitrary database mutations, a strictly higher impact."
Abeautifulsnow_TDengine_mcp_server,query_taos_db_data,The sql statement you want to retrieve data from taos db,Database Management,taosrest.execute_sql,no,"The description explicitly limits the tool to read-only SQL queries, but the actual permission allows arbitrary SQL execution which includes destructive write and delete operations.","The description and schema explicitly claim a read-only SQL query, but the underlying API can execute arbitrary SQL statements, enabling dangerous write or delete operations beyond the stated read-only capability."
Abeautifulsnow_TDengine_mcp_server,switch_db,The name of the database to switch to,Database Management,taosrest.RestClient.execute_sql,no,"The description implies a simple context switch (L0/L1), but the actual permission allows executing arbitrary SQL commands (L3), which is a strictly higher-impact destructive capability.","The tool describes only switching databases, but the actual implementation executes arbitrary SQL (including destructive DML/DDL), which is a strictly higher-impact capability than implied."
AbhiJ2706_f1-mcp,get_drivers_tool,"Get F1 drivers for a season, optionally filtered by query",System Command Execution,run_in_executor,no,"The description implies a simple data fetch, but the presence of system command execution APIs represents a strictly higher-impact capability that is not disclosed.","The tool is described as a read-only query (get F1 drivers), but it includes system command execution capability, which is a strictly higher impact and dangerous undisclosed side effect."
AbhiJ2706_f1-mcp,get_fastest_lap_tool,Get the fastest lap in a session,System Command Execution,run_in_executor,no,"The description implies a simple data retrieval operation, but system command execution represents a significantly higher-impact capability that allows arbitrary code execution.","Description implies a read-only get operation, but actual permission includes system command execution, a strictly higher-impact capability that could run arbitrary commands beyond the expected scope."
AbhiJ2706_f1-mcp,get_race_results_tool,"Get race results for a season, optionally filtered by race name",System Command Execution,run_in_executor,no,"The description implies a simple data fetch, but the presence of run_in_executor indicates hidden system-level command execution capabilities that exceed the expected read-only baseline.",Executing system commands via 'run_in_executor' is a strictly higher-impact capability than the read-only baseline implied by 'Get race results'.
AbhiJ2706_f1-mcp,get_session_results_tool,Get session results for a specific race and session,System Command Execution,run_in_executor,no,"The description implies a read-only data retrieval operation, but the actual permission allows executing arbitrary system commands, which is a strictly higher-impact capability.","Description implies only reading session results (L1), but actual capability includes executing system commands (L3), a clearly higher-impact and undisclosed side effect."
