project,tool,description,permission,apis,inferable_from_description,reason
0pstech_vuln-fs,search_file,Search for files matching a pattern (unsafe: no sanitization),System Command Execution,execPromise,no,"The description implies a read-only search operation (L1), but the actual permission allows executing system commands (L3), which is a strictly higher-impact capability."
0xshariq_docker-mcp-server,docker-login,Log in to a Docker registry,System Command Execution,child_process.spawn; executeDockerCommand; stdin.write,no,"The description implies a network authentication request, but the actual implementation executes local system commands via child_process, which is a higher-impact capability than simple API communication."
101ta28_google-calendar-mcp-server,search_all_calendars,すべてのカレンダーからイベントを検索するツール,File System Operations,pathlib.Path.open; pathlib.Path.write,no,"The tool description implies a read-only search operation, but file system write access represents a strictly higher-impact mutation capability not disclosed."
111-test-111_math-mcp-server,signal_processing_calculator,,File System Operations,builtins.open,no,"The tool name implies in-memory calculation, but file system access introduces unexpected persistent side effects not indicated by the description."
13rac1_videocapture-mcp,get_video_properties,Get properties of the video source. Args: connection_id: ID of the previously opened video connection Returns: Dictionary of video properties,System Command Execution,CAP_PROP_BRIGHTNESS,no,"The description implies a passive read operation (L1), but the actual permission allows executing system commands or modifying hardware state (L3), which is a strictly higher-impact capability."
1999AZZAR_mcp-server-google-search,search_trends,Track and analyze search interest trends over time with predictive insights and emerging topic discovery,Project Management Services,unknown.handleSearchTrends,no,"The tool description implies a read-only search operation, but Project Management Services typically involve state-modifying actions like creating or updating tasks, which represents a higher-impact capability than described."
29decibel_record-to-markdown,create_note,Create a new note in Apple Notes. Args: title: The title of the note content: The content/body of the note (can be markdown) convert_markdown: Whether to convert content from markdown to HTML,System Command Execution,mcp.server.fastmcp.escape_for_applescript; subprocess.run,no,"The description implies a contained data write operation, but the actual implementation executes system commands via subprocess, representing a strictly higher-impact capability."
43EVER_biliscribe,bili_scribe,"Extracts and formats video content into structured text, optimized for LLM processing and analysis. Args: video_url (str): The URL of video to process. use_audio (bool): Whether to use audio for transcription. Should always be True. Returns: str: The formatted text content of the video.",Cloud Infrastructure Management,boto3.client; boto3.s3.upload_file; botocore.config.Config; generate_presigned_url; mcp_server_biliscribe.process.upload_file_to_s3,no,"The description implies a simple read operation, but uploading files to S3 constitutes hidden write/persist side effects."
43EVER_biliscribe,bili_scribe,"Extracts and formats video content into structured text, optimized for LLM processing and analysis. Args: video_url (str): The URL of video to process. use_audio (bool): Whether to use audio for transcription. Should always be True. Returns: str: The formatted text content of the video.",File System Operations,builtins.open; mkdtemp; sanitize_info,no,"The description implies remote processing, but creating temporary directories and writing files constitutes hidden local file system mutation."
54yyyu_school-mcp,add_to_reminders,Add upcoming deadlines to macOS Reminders. Args: days_ahead: Number of days to look ahead for assignments (default: 14),File System Operations,builtins.open,no,"The description implies a high-level reminder update, but direct file system access via builtins.open represents a lower-level persistence mechanism not explicitly disclosed."
