category,shared_unique_api_cache_entries,percent
System Command Execution,424,31.430689399555227
Database Management,257,19.05114899925871
Browser Automation and Web Interaction,149,11.045218680504076
File System Operations,135,10.007412898443292
Specialized Domain Data Services,121,8.969607116382505
Cloud Infrastructure Management,106,7.857672349888807
Project Management Services,54,4.002965159377316
Financial and Blockchain Services,52,3.85470719051149
AI and Machine Learning Services,46,3.40993328391401
Identity and Access Management,5,0.37064492216456635
