cache_entry_id,language,api_name,hidden_api_cache_entry_refs,unique_project_cache_entry_pairs,unique_project_tool_cache_entry_triples,permissions
Python::.modules.functionality.mark_payment.MarkPaymentCommand,Python,.modules.functionality.mark_payment.MarkPaymentCommand,1,1,1,Database Management
Python::.robot_operator.RobotOperator,Python,.robot_operator.RobotOperator,3,1,3,System Command Execution
Python::.utils.endpoint_registry.get_registry,Python,.utils.endpoint_registry.get_registry,1,1,1,Specialized Domain Data Services
Python::.utils.endpoint_registry.get_registry().get_all_endpoints,Python,.utils.endpoint_registry.get_registry().get_all_endpoints,2,1,2,File System Operations
Python::AGENT_SCRIPTS_MANAGER.get_script,Python,AGENT_SCRIPTS_MANAGER.get_script,1,1,1,System Command Execution
Python::API_GET_DANMAKU,Python,API_GET_DANMAKU,1,1,1,System Command Execution
Python::AWSRequest,Python,AWSRequest,3,1,3,Cloud Infrastructure Management
Python::AddKeyframe,Python,AddKeyframe,2,1,2,System Command Execution
Python::Amazon,Python,Amazon,1,1,1,Cloud Infrastructure Management
Python::AnsibleClient,Python,AnsibleClient,33,1,33,Cloud Infrastructure Management
Python::ApiManagementClient,Python,ApiManagementClient,3,3,3,Cloud Infrastructure Management
Python::Article,Python,Article,1,1,1,System Command Execution
Python::AsepriteCommand.execute_lua_script,Python,AsepriteCommand.execute_lua_script,5,1,5,System Command Execution
Python::AsepriteCommand.run_command,Python,AsepriteCommand.run_command,8,1,8,System Command Execution
Python::AsyncOpenAI,Python,AsyncOpenAI,1,1,1,AI and Machine Learning Services
Python::AsyncWindow,Python,AsyncWindow,2,1,2,System Command Execution
Python::AudioSplitter.create,Python,AudioSplitter.create,1,1,1,File System Operations
Python::AutoModel,Python,AutoModel,1,1,1,Project Management Services
Python::BedrockEmbeddings,Python,BedrockEmbeddings,2,1,2,AI and Machine Learning Services
Python::BinAssistMCPTools,Python,BinAssistMCPTools,19,1,19,System Command Execution
Python::BinAssistMCPTools.BinAssistMCPTools,Python,BinAssistMCPTools.BinAssistMCPTools,7,1,7,System Command Execution
Python::Browser,Python,Browser,1,1,1,Browser Automation and Web Interaction
Python::BrowserSession,Python,BrowserSession,1,1,1,Browser Automation and Web Interaction
Python::CAP_PROP_BRIGHTNESS,Python,CAP_PROP_BRIGHTNESS,1,1,1,System Command Execution
Python::Cells,Python,Cells,1,1,1,System Command Execution
Python::ChatGoogle,Python,ChatGoogle,1,1,1,AI and Machine Learning Services
Python::CoreV1Api,Python,CoreV1Api,1,1,1,Cloud Infrastructure Management
Python::CreateDocumentAnalyzeTaskRequestDocument,Python,CreateDocumentAnalyzeTaskRequestDocument,1,1,1,Specialized Domain Data Services
Python::DBService.execute_sql,Python,DBService.execute_sql,1,1,1,Database Management
Python::DUCKDUCKGO_MAX_RESULTS,Python,DUCKDUCKGO_MAX_RESULTS,1,1,1,File System Operations
Python::DaftCatalog.from_iceberg,Python,DaftCatalog.from_iceberg,1,1,1,Specialized Domain Data Services
Python::DaisysAPI,Python,DaisysAPI,1,1,1,File System Operations
Python::Database,Python,Database,1,1,1,Database Management
Python::DatasetManager.get_dataset_info,Python,DatasetManager.get_dataset_info,6,3,6,Specialized Domain Data Services
Python::DatasetManager.list_datasets,Python,DatasetManager.list_datasets,6,3,6,AI and Machine Learning Services
Python::DefaultResolver,Python,DefaultResolver,2,1,2,System Command Execution
Python::DescribeWorkspace,Python,DescribeWorkspace,3,1,3,Cloud Infrastructure Management
Python::Documents.Open,Python,Documents.Open,1,1,1,System Command Execution
Python::DorisMonitoringTools.get_memory_stats,Python,DorisMonitoringTools.get_memory_stats,1,1,1,System Command Execution
Python::ExplainPlanTool.explain,Python,ExplainPlanTool.explain,1,1,1,Database Management
Python::FastMCP.run_command,Python,FastMCP.run_command,2,1,2,System Command Execution
Python::FastMCP.send_command,Python,FastMCP.send_command,7,2,7,System Command Execution
Python::Fetch.requestPaused,Python,Fetch.requestPaused,1,1,1,Browser Automation and Web Interaction
Python::FlightData,Python,FlightData,1,1,1,System Command Execution
Python::Foundation.NSImage.initWithContentsOfFile_,Python,Foundation.NSImage.initWithContentsOfFile_,1,1,1,File System Operations
Python::Foundation.NSUserNotification.setContentImage_,Python,Foundation.NSUserNotification.setContentImage_,1,1,1,System Command Execution
Python::Foundation.NSUserNotification.setInformativeText_,Python,Foundation.NSUserNotification.setInformativeText_,1,1,1,System Command Execution
Python::Foundation.NSUserNotification.setTitle_,Python,Foundation.NSUserNotification.setTitle_,1,1,1,System Command Execution
Python::Foundation.NSUserNotificationCenter.deliverNotification_,Python,Foundation.NSUserNotificationCenter.deliverNotification_,1,1,1,System Command Execution
Python::GeoRoutesClient,Python,GeoRoutesClient,2,2,2,Cloud Infrastructure Management
Python::GetProfiles,Python,GetProfiles,1,1,1,Cloud Infrastructure Management
Python::GetSystemMetrics,Python,GetSystemMetrics,2,2,2,System Command Execution
Python::GetWindowText,Python,GetWindowText,2,2,2,System Command Execution
Python::Gimp.Image.get_width,Python,Gimp.Image.get_width,1,1,1,System Command Execution
Python::GitHub API,Python,GitHub API,3,3,3,Project Management Services
Python::HydrolixConfig,Python,HydrolixConfig,1,1,1,Specialized Domain Data Services
Python::IPInfoCache.set,Python,IPInfoCache.set,1,1,1,Database Management
Python::IRISReference,Python,IRISReference,2,1,2,Database Management
Python::ImageFont.FreeTypeFont,Python,ImageFont.FreeTypeFont,1,1,1,File System Operations
Python::JupyterWebSocketClient,Python,JupyterWebSocketClient,2,1,2,Specialized Domain Data Services
Python::KachakaMCPContext,Python,KachakaMCPContext,8,1,8,Database Management
Python::KikSearchRequest,Python,KikSearchRequest,1,1,1,Browser Automation and Web Interaction
Python::LLMBase.call_llm,Python,LLMBase.call_llm,1,1,1,AI and Machine Learning Services
Python::LarkBot.send_post_to_chat,Python,LarkBot.send_post_to_chat,1,1,1,File System Operations
Python::MaestroCli.get_hierarchy,Python,MaestroCli.get_hierarchy,1,1,1,System Command Execution
Python::MathcadPy.Mathcad.open,Python,MathcadPy.Mathcad.open,1,1,1,System Command Execution
Python::MathcadPy.Worksheet.get_real_output,Python,MathcadPy.Worksheet.get_real_output,2,1,2,System Command Execution
Python::MediaIoBaseDownload,Python,MediaIoBaseDownload,2,1,2,File System Operations
Python::MetadataDbClient,Python,MetadataDbClient,1,1,1,Database Management
Python::NSUserNotification.alloc,Python,NSUserNotification.alloc,1,1,1,System Command Execution
Python::NSUserNotification.alloc().init(),Python,NSUserNotification.alloc().init(),1,1,1,System Command Execution
Python::NSUserNotificationCenter.defaultUserNotificationCenter,Python,NSUserNotificationCenter.defaultUserNotificationCenter,1,1,1,System Command Execution
Python::Network.loadingFinished,Python,Network.loadingFinished,1,1,1,Browser Automation and Web Interaction
Python::Network.requestWillBeSent,Python,Network.requestWillBeSent,1,1,1,Browser Automation and Web Interaction
Python::Network.responseReceived,Python,Network.responseReceived,1,1,1,Browser Automation and Web Interaction
Python::NotebookManager.add_notebook,Python,NotebookManager.add_notebook,1,1,1,Cloud Infrastructure Management
Python::NotebookManager.get_kernel,Python,NotebookManager.get_kernel,1,1,1,Cloud Infrastructure Management
Python::NotebookManager.get_notebook_connection,Python,NotebookManager.get_notebook_connection,5,1,5,Cloud Infrastructure Management
Python::NotebookManager.get_notebook_path,Python,NotebookManager.get_notebook_path,1,1,1,File System Operations
Python::Notify,Python,Notify,1,1,1,File System Operations
Python::ONVIFCamera,Python,ONVIFCamera,1,1,1,Cloud Infrastructure Management
Python::OpenAI.OpenAI,Python,OpenAI.OpenAI,1,1,1,AI and Machine Learning Services
Python::OpenAI.chat.completions.create,Python,OpenAI.chat.completions.create,1,1,1,AI and Machine Learning Services
Python::Options,Python,Options,2,2,2,Browser Automation and Web Interaction
Python::PIL.Image.open,Python,PIL.Image.open,1,1,1,File System Operations
Python::Page.enable,Python,Page.enable,1,1,1,Browser Automation and Web Interaction
Python::ParadexApiClient.init_account,Python,ParadexApiClient.init_account,4,1,4,Specialized Domain Data Services
Python::PlexServer,Python,PlexServer,13,2,13,Cloud Infrastructure Management
Python::Plotter,Python,Plotter,1,1,1,File System Operations
Python::PluginFactory.create_plugin,Python,PluginFactory.create_plugin,1,1,1,System Command Execution
Python::PromptGuard,Python,PromptGuard,25,1,25,AI and Machine Learning Services
Python::PyIcebergConfig,Python,PyIcebergConfig,1,1,1,Cloud Infrastructure Management
Python::RabbitMQAdmin.RabbitMQAdmin,Python,RabbitMQAdmin.RabbitMQAdmin,1,1,1,Cloud Infrastructure Management
Python::RaspberryPiAdapter.connect,Python,RaspberryPiAdapter.connect,1,1,1,System Command Execution
Python::RedshiftTable,Python,RedshiftTable,1,1,1,Database Management
Python::Registry API,Python,Registry API,2,1,2,Specialized Domain Data Services
Python::Repo,Python,Repo,3,1,3,File System Operations
Python::Repo.clone_from,Python,Repo.clone_from,2,1,2,Specialized Domain Data Services
Python::Rotate,Python,Rotate,1,1,1,System Command Execution
Python::Runtime.evaluate,Python,Runtime.evaluate,2,2,2,Browser Automation and Web Interaction
Python::SafeSqlDriver.execute_param_query,Python,SafeSqlDriver.execute_param_query,3,1,3,Cloud Infrastructure Management
Python::SafeSqlDriver.sql_to_query,Python,SafeSqlDriver.sql_to_query,3,1,3,Database Management
Python::SearchRepositoriesInput,Python,SearchRepositoriesInput,1,1,1,Cloud Infrastructure Management
Python::Service,Python,Service,1,1,1,Browser Automation and Web Interaction
Python::Shell.Application,Python,Shell.Application,1,1,1,System Command Execution
Python::Sherlock,Python,Sherlock,9,1,9,System Command Execution
Python::SqlDriver.execute_query,Python,SqlDriver.execute_query,1,1,1,Project Management Services
Python::StudentDatabaseModule.db.execute_query,Python,StudentDatabaseModule.db.execute_query,1,1,1,Database Management
Python::TOGGL_API_TOKEN,Python,TOGGL_API_TOKEN,4,1,4,Cloud Infrastructure Management
Python::TavilyClient,Python,TavilyClient,1,1,1,Specialized Domain Data Services
Python::TogglClient,Python,TogglClient,4,1,4,Cloud Infrastructure Management
Python::URBasic.RobotModel.ActualRobotCurrent,Python,URBasic.RobotModel.ActualRobotCurrent,1,1,1,System Command Execution
Python::URBasic.get_actual_tcp_pose,Python,URBasic.get_actual_tcp_pose,1,1,1,System Command Execution
Python::URBasic.movejConfirm,Python,URBasic.movejConfirm,1,1,1,Cloud Infrastructure Management
Python::URBasic.movelConfirm,Python,URBasic.movelConfirm,1,1,1,Cloud Infrastructure Management
Python::URBasic.right_pose_tcp,Python,URBasic.right_pose_tcp,1,1,1,Cloud Infrastructure Management
Python::URBasic.robot.Robot.get_actual_tcp_pose,Python,URBasic.robot.Robot.get_actual_tcp_pose,1,1,1,Cloud Infrastructure Management
Python::URBasic.robotConnector.RTDE.isRunning,Python,URBasic.robotConnector.RTDE.isRunning,4,1,4,System Command Execution
Python::URBasic.ur_get_robot_model,Python,URBasic.ur_get_robot_model,1,1,1,System Command Execution
Python::URBasic.ur_safetymode,Python,URBasic.ur_safetymode,1,1,1,System Command Execution
Python::UserService.UserService,Python,UserService.UserService,1,1,1,Identity and Access Management
Python::Valyu,Python,Valyu,1,1,1,Project Management Services
Python::Vmm,Python,Vmm,5,1,5,System Command Execution
Python::WebDriverWait,Python,WebDriverWait,1,1,1,Browser Automation and Web Interaction
Python::ZipFile,Python,ZipFile,1,1,1,File System Operations
Python::_Registry,Python,_Registry,1,1,1,System Command Execution
Python::_call_registry_api,Python,_call_registry_api,2,1,2,Specialized Domain Data Services
Python::_disconnect,Python,_disconnect,5,1,5,System Command Execution
Python::_ensure_checkov_installed,Python,_ensure_checkov_installed,2,2,2,System Command Execution
Python::_ensure_playwright_ready,Python,_ensure_playwright_ready,2,1,2,Browser Automation and Web Interaction
Python::_execute_protected_statement,Python,_execute_protected_statement,1,1,1,Database Management
Python::_execute_statement,Python,_execute_statement,5,1,5,Database Management
Python::_handle_update_record_tool,Python,_handle_update_record_tool,1,1,1,System Command Execution
Python::_openrouter_chat,Python,_openrouter_chat,1,1,1,Database Management
Python::_qgis_connection.disconnect,Python,_qgis_connection.disconnect,13,1,13,System Command Execution
Python::_run_command,Python,_run_command,5,1,5,System Command Execution
Python::ableton.send_command,Python,ableton.send_command,2,1,2,System Command Execution
Python::account.users(),Python,account.users(),4,1,4,Cloud Infrastructure Management
Python::acreate,Python,acreate,1,1,1,Database Management
Python::adbdevicemanager.AdbDeviceManager.get_package_action_intents,Python,adbdevicemanager.AdbDeviceManager.get_package_action_intents,1,1,1,System Command Execution
Python::adbdevicemanager.AdbDeviceManager.get_packages,Python,adbdevicemanager.AdbDeviceManager.get_packages,1,1,1,System Command Execution
Python::adbdevicemanager.AdbDeviceManager.get_uilayout,Python,adbdevicemanager.AdbDeviceManager.get_uilayout,1,1,1,System Command Execution
Python::add_argument,Python,add_argument,2,2,2,System Command Execution
Python::add_cookie,Python,add_cookie,1,1,1,Browser Automation and Web Interaction
Python::add_experimental_option,Python,add_experimental_option,1,1,1,Browser Automation and Web Interaction
Python::add_heading,Python,add_heading,4,3,4,System Command Execution
Python::add_note,Python,add_note,1,1,1,System Command Execution
Python::add_or_update_email,Python,add_or_update_email,1,1,1,Database Management
Python::add_take,Python,add_take,1,1,1,System Command Execution
Python::afirst,Python,afirst,1,1,1,File System Operations
Python::agent.run,Python,agent.run,1,1,1,Browser Automation and Web Interaction
Python::ahk.find_window_by_title,Python,ahk.find_window_by_title,1,1,1,System Command Execution
Python::aind_data_access_api.document_db.MetadataDbClient.setup_mongodb_client,Python,aind_data_access_api.document_db.MetadataDbClient.setup_mongodb_client,1,1,1,Database Management
Python::ainvoke,Python,ainvoke,1,1,1,Specialized Domain Data Services
Python::aiohttp.ClientSession,Python,aiohttp.ClientSession,1,1,1,Specialized Domain Data Services
Python::aitoolkit.librarian.edit_bookmark.EditBookmark,Python,aitoolkit.librarian.edit_bookmark.EditBookmark,4,2,4,File System Operations
Python::aitoolkit.utils.git_tracker.get_commit_history,Python,aitoolkit.utils.git_tracker.get_commit_history,2,2,2,System Command Execution
Python::alloc,Python,alloc,1,1,1,System Command Execution
Python::alpaca.data.live.stock.StockDataStream,Python,alpaca.data.live.stock.StockDataStream,2,1,2,Financial and Blockchain Services
Python::alpaca.trading.client.TradingClient,Python,alpaca.trading.client.TradingClient,2,1,2,Financial and Blockchain Services
Python::alphaess,Python,alphaess,1,1,1,Specialized Domain Data Services
Python::alphaess.alphaess,Python,alphaess.alphaess,1,1,1,Specialized Domain Data Services
Python::alphaess.alphaess.close,Python,alphaess.alphaess.close,1,1,1,Project Management Services
Python::amazon.client.Amazon.buy_now,Python,amazon.client.Amazon.buy_now,1,1,1,Financial and Blockchain Services
Python::amazon.client.Amazon.buy_now_with_x402,Python,amazon.client.Amazon.buy_now_with_x402,1,1,1,Financial and Blockchain Services
Python::amp,Python,amp,3,1,3,Cloud Infrastructure Management
Python::analyze_position,Python,analyze_position,1,1,1,System Command Execution
Python::anyio.to_thread.run_sync,Python,anyio.to_thread.run_sync,1,1,1,System Command Execution
Python::api.estimate_audience_size,Python,api.estimate_audience_size,2,2,2,Financial and Blockchain Services
Python::api.make_api_request,Python,api.make_api_request,5,2,5,Financial and Blockchain Services
Python::api.timeline_operations.list_timelines,Python,api.timeline_operations.list_timelines,1,1,1,System Command Execution
Python::api_proxy.ApiProxy.execute_action,Python,api_proxy.ApiProxy.execute_action,33,1,33,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter,1,1,1,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,1,1,1,System Command Execution
Python::app.search,Python,app.search,2,2,2,Database Management
Python::app.shared.utils.http_client.get,Python,app.shared.utils.http_client.get,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.http_client.post,Python,app.shared.utils.http_client.post,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.tool_helper_service.ToolHelperService.execute_get_request,Python,app.shared.utils.tool_helper_service.ToolHelperService.execute_get_request,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.tool_helper_service.execute_get_request,Python,app.shared.utils.tool_helper_service.execute_get_request,1,1,1,Specialized Domain Data Services
Python::app.shared.utils.tool_helper_service.tool_helper_service.execute_post_request,Python,app.shared.utils.tool_helper_service.tool_helper_service.execute_post_request,1,1,1,Specialized Domain Data Services
Python::app.tools.raspberrypi_tool.RaspberryPiTool,Python,app.tools.raspberrypi_tool.RaspberryPiTool,1,1,1,System Command Execution
Python::applescript.run,Python,applescript.run,3,1,3,Browser Automation and Web Interaction
Python::arrlen,Python,arrlen,1,1,1,Database Management
Python::arthas_client._execute_command,Python,arthas_client._execute_command,5,1,5,System Command Execution
Python::asyncio.create_subprocess_exec,Python,asyncio.create_subprocess_exec,28,12,28,System Command Execution
Python::asyncio.create_subprocess_shell,Python,asyncio.create_subprocess_shell,6,1,6,System Command Execution
Python::asyncio.subprocess.Process.communicate,Python,asyncio.subprocess.Process.communicate,5,3,5,System Command Execution
Python::attach,Python,attach,13,1,13,System Command Execution
Python::attributes,Python,attributes,6,1,6,System Command Execution
Python::audio_player.AFPlayBackend.get_available_audio_devices,Python,audio_player.AFPlayBackend.get_available_audio_devices,1,1,1,System Command Execution
Python::audit_logger.get_audit_logger,Python,audit_logger.get_audit_logger,1,1,1,Specialized Domain Data Services
Python::auto_fix_issue,Python,auto_fix_issue,1,1,1,System Command Execution
Python::aws_mcp_server.security.validate_aws_command,Python,aws_mcp_server.security.validate_aws_command,1,1,1,System Command Execution
Python::aws_mcp_server.security.validate_pipe_command,Python,aws_mcp_server.security.validate_pipe_command,1,1,1,System Command Execution
Python::aws_mcp_server.tools.execute_aws_command,Python,aws_mcp_server.tools.execute_aws_command,1,1,1,Cloud Infrastructure Management
Python::aws_mcp_server.tools.execute_pipe_command,Python,aws_mcp_server.tools.execute_pipe_command,1,1,1,System Command Execution
Python::aws_mcp_server.tools.execute_piped_command,Python,aws_mcp_server.tools.execute_piped_command,1,1,1,System Command Execution
Python::aws_mcp_server.tools.validate_aws_command,Python,aws_mcp_server.tools.validate_aws_command,1,1,1,Cloud Infrastructure Management
Python::awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,Python,awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,1,1,1,Cloud Infrastructure Management
Python::awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,Python,awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,1,1,1,Cloud Infrastructure Management
Python::awslabs.aws_diagram_mcp_server.scanner.scan_python_code,Python,awslabs.aws_diagram_mcp_server.scanner.scan_python_code,2,2,2,System Command Execution
Python::awslabs.ccapi_mcp_server.aws_client.get_aws_client,Python,awslabs.ccapi_mcp_server.aws_client.get_aws_client,1,1,1,Cloud Infrastructure Management
Python::awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,Python,awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,1,1,1,Cloud Infrastructure Management
Python::awslabs.ccapi_mcp_server.models.models.ExplainRequest,Python,awslabs.ccapi_mcp_server.models.models.ExplainRequest,1,1,1,Cloud Infrastructure Management
Python::awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,Python,awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,1,1,1,System Command Execution
Python::awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,Python,awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,2,2,2,System Command Execution
Python::awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,Python,awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,4,2,4,AI and Machine Learning Services
Python::awslabs.git_repo_research_mcp_server.index_builder.save_index,Python,awslabs.git_repo_research_mcp_server.index_builder.save_index,1,1,1,File System Operations
Python::awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,Python,awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,2,2,2,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,Python,awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,2,2,2,Project Management Services
Python::awslabs.git_repo_research_mcp_server.indexer.index_repository,Python,awslabs.git_repo_research_mcp_server.indexer.index_repository,2,2,2,File System Operations
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search,1,1,1,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,2,2,2,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,Python,awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,4,2,4,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.get_commit_id,Python,awslabs.git_repo_research_mcp_server.repository.get_commit_id,1,1,1,Project Management Services
Python::awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,Python,awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,1,1,1,Project Management Services
Python::awslabs.git_repo_research_mcp_server.search.get_repository_searcher,Python,awslabs.git_repo_research_mcp_server.search.get_repository_searcher,2,2,2,Cloud Infrastructure Management
