project,tool,description,permission,apis,inferable_from_description,reason
0pstech_vuln-fs,search_file,Search for files matching a pattern (unsafe: no sanitization),System Command Execution,execPromise,no,"Description implies search (read) but APIs include command execution (execPromise), a higher-impact capability."
0xNacho_aws-lakeformation-mcp,grant_lf_tag_permissions,,Cloud Infrastructure Management,@modelcontextprotocol/sdk/server/index.js.grantLFTagPermissions,no,"With an entirely blank description, no baseline capability is implied, so a mutating infrastructure operation like granting LF tag permissions is a hidden higher-impact action."
0xNacho_aws-lakeformation-mcp,grant_lf_tag_permissions,,Identity and Access Management,LakeFormationClient.send; createLFTagRequest,no,"The empty description conceals that the tool performs access management via LakeFormationClient, which is an elevated, surprising capability outside any user expectation."
0xPratikPatil_NmapMCP,list_scan,Perform a list scan on the specified target with optional custom arguments. Args: target (str): The target IP address or hostname. args (str): Additional Nmap command-line arguments. Returns: dict: The list scan results.,System Command Execution,nmap3.scan_function,no,"Description implies a passive list scan (L1), but the tool allows arbitrary Nmap arguments and executes system commands, enabling active/aggressive scanning and potential destructive side effects (L3)."
0xshariq_docker-mcp-server,docker-login,Log in to a Docker registry,System Command Execution,child_process.spawn; executeDockerCommand; stdin.write,no,"Description implies authentication only, but actual permission allows arbitrary system command execution, a higher impact than logging in."
101ta28_google-calendar-mcp-server,search_all_calendars,すべてのカレンダーからイベントを検索するツール,File System Operations,pathlib.Path.write,no,"Description implies only read-only search, but pathlib.Path.write indicates a hidden file-write capability that could modify filesystem state beyond a simple query."
199-biotechnologies_mcp-limitless-enhanced,limitless_extract_action_items,"Intelligently extract action items and tasks from conversations with context, priority analysis, and smart pattern recognition. Perfect for getting your todo list from meetings.",Specialized Domain Data Services,global.fetch,no,"The description implies local extraction of action items, but the tool sends conversation data to an external service via fetch, which is a hidden send/transmit capability beyond the expected read-only analysis."
29decibel_record-to-markdown,create_note,Create a new note in Apple Notes. Args: title: The title of the note content: The content/body of the note (can be markdown) convert_markdown: Whether to convert content from markdown to HTML,System Command Execution,subprocess.run,no,"Description implies note creation via Apple Notes integration, but subprocess.run enables arbitrary system command execution, a strictly higher-impact capability."
43EVER_biliscribe,bili_scribe,"Extracts and formats video content into structured text, optimized for LLM processing and analysis. Args: video_url (str): The URL of video to process. use_audio (bool): Whether to use audio for transcription. Should always be True. Returns: str: The formatted text content of the video.",Cloud Infrastructure Management,boto3.client; boto3.s3.upload_file; botocore.config.Config; generate_presigned_url,no,"The tool description implies read-only video extraction but the permission includes S3 file upload, a write capability that exceeds the expected baseline."
611711Dark_mcp_calculate_server,calculate_expression,"calculate mathematical expressions using the `sympify` function from `sympy`, parse and compute the input mathematical expression string, supports direct calls to SymPy functions (automatically recognizes x, y, z as symbolic variables) Parameters: expression (str): Mathematical expression, e.g., ""223 - 344 * 6"" or ""sin(pi/2) + log(10)"".Replace special symbols with approximate values, e.g., pi → 3.1415"" Example expressions: ""2 + 3*5"" # Basic arithmetic → 17 ""expand((x + 1)**2)"" # Expand → x² + 2x + 1 ""diff(sin(x), x)"" # Derivative → cos(x) ""integrate(exp(x), (x, 0, 1))"" # Definite integral → E - 1 ""solve(x**2 - 4, x)"" # Solve equation → [-2, 2] ""limit(tan(x)/x, x, 0)"" # Limit → 1 ""Sum(k, (k, 1, 10)).doit()"" # Summation → 55 ""Matrix([[1, 2], [3, 4]]).inv()"" # Matrix inverse → [[-2, 1], [3/2, -1/2]] ""simplify((x**2 - 1)/(x + 1))"" # Simplify → x - 1 ""factor(x**2 - 2*x - 15)"" # Factorize → (x - 5)(x + 3) ""series(cos(x), x, 0, 4)"" # Taylor series → 1 - x²/2 + x⁴/24 + O(x⁴) ""integrate(exp(-x**2)*sin(x), (x, -oo, oo))"" # Complex integral ""solve([x**2 + y**2 - 1, x + y - 1], [x, y])"" # Solve system of equations ""Matrix([[1, 2, 3], [4, 5, 6], [7, 8, 9]]).eigenvals()"" # Matrix eigenvalues Returns: str: Calculation result. If the expression cannot be parsed or computed, returns an error message (str).",System Command Execution,builtins.eval; eval,no,"Description implies safe mathematical evaluation, but eval allows arbitrary system command execution, a higher-impact hidden capability."
